sector_id,zona_altitud,centro_lat,centro_lon,altitud_promedio,altitud_minima,altitud_maxima,ubicacion_id
-177855_-631538,BAJA,-17.785521,-63.153844,431.6,431.6,431.6,3894
-177855_-631543,BAJA,-17.785592,-63.15437,431.9,431.9,431.9,3895
-177855_-631553,BAJA,-17.78558,-63.155363,432.4,432.4,432.4,3896
-177855_-631694,BAJA,-17.785545,-63.169444,437.1,437.1,437.1,3897
-177855_-631947,BAJA,-17.785578,-63.194752,436.4,436.4,436.4,3898
-177855_-632087,BAJA,-17.785565,-63.208715,438.9,438.9,438.9,3899
-177855_-632108,BAJA,-17.785511,-63.210803,433.12,433.12,433.12,3900
-177855_-632122,BAJA,-17.785585,-63.212243,434.32,434.32,434.32,3901
-177856_-631532,BAJA,-17.785602,-63.153232,432.5,432.5,432.5,3902
-177856_-631717,BAJA,-17.785641,-63.171759,438.0,438.0,438.0,3903
-177856_-631718,BAJA,-17.785658,-63.171806,438.0,438.0,438.0,3904
-177856_-631720,BAJA,-17.785606,-63.172089,438.0,438.0,438.0,3905
-177856_-631947,BAJA,-17.785618,-63.194768,436.5,436.4,436.7,3906
-177856_-632111,BAJA,-17.785691,-63.211176,439.1,439.1,439.1,3907
-177856_-632163,BAJA,-17.785602,-63.216379,432.13,432.13,432.13,3908
-177857_-631946,BAJA,-17.785722,-63.194648,436.6,436.6,436.6,3909
-177857_-632148,BAJA,-17.785712,-63.214832,433.71,433.71,433.71,3910
-177857_-632170,BAJA,-17.78577,-63.217021,457.6,457.6,457.6,3911
-177858_-631470,BAJA,-17.785856,-63.147057,431.2,431.2,431.2,3912
-177858_-631471,BAJA,-17.785895,-63.147186,431.0,431.0,431.0,3913
-177858_-631647,BAJA,-17.785867,-63.164724,435.0,435.0,435.0,3914
-177858_-631715,BAJA,-17.785892,-63.171576,437.9,437.9,437.9,3915
-177858_-631951,BAJA,-17.785835,-63.195193,436.2,436.2,436.2,3916
-177858_-632068,BAJA,-17.785855,-63.206816,445.7,445.7,445.7,3917
-177858_-632096,BAJA,-17.785807,-63.209667,442.2,442.2,442.2,3918
-177858_-632170,BAJA,-17.785827,-63.217092,438.3,438.3,438.3,3919
-177858_-632173,BAJA,-17.785822,-63.217325,450.8,450.8,450.8,3920
-177859_-631303,BAJA,-17.785946,-63.130368,424.2,424.2,424.2,3921
-177859_-631491,BAJA,-17.785943,-63.149185,431.5,431.5,431.5,3922
-177859_-631717,BAJA,-17.785942,-63.171711,440.7,440.7,440.7,3923
-177859_-631940,BAJA,-17.785931,-63.194033,436.2,436.2,436.2,3924
-177859_-632223,BAJA,-17.785978,-63.222327,442.0,442.0,442.0,3925
